種別,チーム,個人,月,売上,経費,目標名
data,Alpha,田中,2026-04,5200,3172,
data,Alpha,田中,2026-05,5450,3324,
data,Alpha,田中,2026-06,5600,3416,
data,Alpha,田中,2026-07,5750,3508,
data,Alpha,田中,2026-08,5900,3599,
data,Alpha,田中,2026-09,6100,3721,
data,Alpha,田中,2026-10,6250,3850,
data,Alpha,田中,2026-11,6300,3881,
data,Alpha,田中,2026-12,6500,4004,
data,Alpha,田中,2027-01,6600,4066,
data,Alpha,田中,2027-02,6700,4127,
data,Alpha,田中,2027-03,6900,4250,
data,Alpha,佐藤,2026-04,4800,2784,
data,Alpha,佐藤,2026-05,5000,2900,
data,Alpha,佐藤,2026-06,5150,2987,
data,Alpha,佐藤,2026-07,5250,3045,
data,Alpha,佐藤,2026-08,5400,3132,
data,Alpha,佐藤,2026-09,5550,3219,
data,Alpha,佐藤,2026-10,5700,3340,
data,Alpha,佐藤,2026-11,5850,3428,
data,Alpha,佐藤,2026-12,5950,3487,
data,Alpha,佐藤,2027-01,6050,3545,
data,Alpha,佐藤,2027-02,6150,3604,
data,Alpha,佐藤,2027-03,6300,3692,
data,Alpha,鈴木,2026-04,4300,2709,
data,Alpha,鈴木,2026-05,4450,2804,
data,Alpha,鈴木,2026-06,4600,2898,
data,Alpha,鈴木,2026-07,4700,2961,
data,Alpha,鈴木,2026-08,4850,3056,
data,Alpha,鈴木,2026-09,5000,3150,
data,Alpha,鈴木,2026-10,5100,3244,
data,Alpha,鈴木,2026-11,5250,3339,
data,Alpha,鈴木,2026-12,5350,3403,
data,Alpha,鈴木,2027-01,5450,3466,
data,Alpha,鈴木,2027-02,5600,3562,
data,Alpha,鈴木,2027-03,5750,3657,
data,Beta,高橋,2026-04,6100,4026,
data,Beta,高橋,2026-05,6250,4125,
data,Beta,高橋,2026-06,6400,4224,
data,Beta,高橋,2026-07,6500,4290,
data,Beta,高橋,2026-08,6650,4389,
data,Beta,高橋,2026-09,6800,4488,
data,Beta,高橋,2026-10,7000,4662,
data,Beta,高橋,2026-11,7150,4762,
data,Beta,高橋,2026-12,7300,4862,
data,Beta,高橋,2027-01,7450,4962,
data,Beta,高橋,2027-02,7600,5062,
data,Beta,高橋,2027-03,7800,5195,
data,Beta,伊藤,2026-04,3900,2223,
data,Beta,伊藤,2026-05,4050,2308,
data,Beta,伊藤,2026-06,4200,2394,
data,Beta,伊藤,2026-07,4350,2480,
data,Beta,伊藤,2026-08,4450,2536,
data,Beta,伊藤,2026-09,4600,2622,
data,Beta,伊藤,2026-10,4750,2736,
data,Beta,伊藤,2026-11,4850,2794,
data,Beta,伊藤,2026-12,5000,2880,
data,Beta,伊藤,2027-01,5100,2938,
data,Beta,伊藤,2027-02,5250,3024,
data,Beta,伊藤,2027-03,5400,3110,
data,Beta,渡辺,2026-04,4500,2700,
data,Beta,渡辺,2026-05,4650,2790,
data,Beta,渡辺,2026-06,4800,2880,
data,Beta,渡辺,2026-07,4900,2940,
data,Beta,渡辺,2026-08,5050,3030,
data,Beta,渡辺,2026-09,5200,3120,
data,Beta,渡辺,2026-10,5350,3242,
data,Beta,渡辺,2026-11,5500,3333,
data,Beta,渡辺,2026-12,5650,3424,
data,Beta,渡辺,2027-01,5750,3484,
data,Beta,渡辺,2027-02,5900,3575,
data,Beta,渡辺,2027-03,6050,3666,
data,Gamma,山本,2026-04,5700,3534,
data,Gamma,山本,2026-05,5850,3627,
data,Gamma,山本,2026-06,6000,3720,
data,Gamma,山本,2026-07,6150,3813,
data,Gamma,山本,2026-08,6300,3906,
data,Gamma,山本,2026-09,6450,3999,
data,Gamma,山本,2026-10,6600,4132,
data,Gamma,山本,2026-11,6750,4226,
data,Gamma,山本,2026-12,6900,4319,
data,Gamma,山本,2027-01,7050,4413,
data,Gamma,山本,2027-02,7200,4507,
data,Gamma,山本,2027-03,7350,4601,
data,Gamma,中村,2026-04,4100,2419,
data,Gamma,中村,2026-05,4250,2508,
data,Gamma,中村,2026-06,4350,2566,
data,Gamma,中村,2026-07,4450,2626,
data,Gamma,中村,2026-08,4550,2684,
data,Gamma,中村,2026-09,4700,2773,
data,Gamma,中村,2026-10,4800,2861,
data,Gamma,中村,2026-11,4950,2950,
data,Gamma,中村,2026-12,5050,3010,
data,Gamma,中村,2027-01,5150,3069,
data,Gamma,中村,2027-02,5300,3159,
data,Gamma,中村,2027-03,5450,3248,
data,Gamma,小林,2026-04,3600,2016,
data,Gamma,小林,2026-05,3750,2100,
data,Gamma,小林,2026-06,3900,2184,
data,Gamma,小林,2026-07,4000,2240,
data,Gamma,小林,2026-08,4150,2324,
data,Gamma,小林,2026-09,4250,2380,
data,Gamma,小林,2026-10,4400,2490,
data,Gamma,小林,2026-11,4550,2575,
data,Gamma,小林,2026-12,4650,2632,
data,Gamma,小林,2027-01,4750,2689,
data,Gamma,小林,2027-02,4900,2773,
data,Gamma,小林,2027-03,5050,2858,
target,,,,168000,101000,上期目標
target,,,,372000,225000,下期目標
target,,,,540000,326000,通期目標
